,2021-04-20
991,933810547241472001
992,358824825
993,960882118221058048
994,3149634328
995,421296510
996,1262671238427578368
997,1033717333821284352
998,17407064
999,1379767604454305792
1000,147945006
1001,1365886923630206981
1002,1379750903981305859
1003,1357745961720836100
1004,1158649524430053378
1005,268960408
1006,270457402
1007,1373355650110095365
1008,2465868098
1009,1378435624257134602
1010,1426854588
1011,113606007
1012,29159938
1013,20074656
1014,1338965977594257418
1015,1379677018997014528
1016,1375033141505613827
1017,1310182450547499009
1018,310630293
1019,836167393051205632
1020,727673917201129474
1021,1326496806881153025
1022,3273394879
1023,2381468736
1024,1330796133258391554
1025,1378249317266300930
1026,4341013289
1027,854449127635243008
1028,86272092
1029,321469822
1030,486333163
1031,15996149
1032,1088199743493365760
1033,1358794760505483265
1034,1101996909764493313
1035,4822524107
1036,1338590439759368192
1037,1379164397139066881
1038,1327060729418182661
1039,2300680499
1040,2809272054
1041,1375310301185273857
1042,2158140755
1043,1367027083495550976
1044,635450683
1045,753601765547905024
1046,26516248
1047,1360154005792563201
1048,1078767818164690945
1049,1354960407933366276
1050,903319316052942848
1051,14215830
1052,1259213228493733894
1053,399726971
1054,1106136788106649605
1055,1123326936229588995
1056,193280711
1057,1310529662792028160
1058,1367285792817643523
1059,2803164260
1060,368428136
1061,2204642862
1062,1379455930232889354
1063,1379449931254145031
1064,150712800
1065,1378027632302944259
1066,2915567762
1067,1376703426545913858
1068,285234295
1069,873060551890423810
1070,103612517
1071,1379417453734854663
1072,520156311
1073,1337772417096196096
1074,1305642796083183618
1075,1371840573892624392
1076,238162126
1077,1299024984883560449
1078,1375861502071148546
1079,2415807788
1080,4459742849
1081,242833785
1082,2784164477
1083,1334165365455142913
1084,242390736
1085,1377664678529277952
1086,2797403191
1087,1285296006850961408
1088,1373471943580553216
1089,1378663269372674056
1090,274596415
1091,948140946289553408
1092,1669833535
1093,1374655251605647369
1094,445292191
1095,1217763982766985217
1096,970440010943090688
1097,15093376
1098,35257202
1099,1193606232256462848
1100,1292771861512634368
1101,148522194
1102,1379376540002222081
1103,986482080371695617
1104,1379371562944634882
1105,963752402292822016
1106,1373248422296313856
1107,291718364
1108,1304523896591446017
1109,714850129
1110,1379357142931619840
1111,94055560
1112,2170090728
1113,938450168327831552
1114,1246596263002476554
1115,1310902709059555328
1116,1360120649059102720
1117,1379326173658935299
1118,1371010339530227714
1119,2470574078
1120,1378760560033038336
1121,1959915229
1122,881220057472303104
1123,608282995
1124,46021752
1125,14301350
1126,707390821775974400
1127,1379119558720634887
1128,1378965116163657730
1129,109194943
1130,1044553301771964416
1131,24719430
1132,36598496
1133,1379253226600497153
1134,1051962890
1135,1377416382632108041
1136,680213
1137,1296452631112581120
1138,1322054393064230913
1139,883475559270957056
1140,307451059
1141,938775625518714881
1142,1374418650237603841
1143,1343482162973175810
1144,1356997281929695235
1145,1379188426294067201
1146,1361480253873528832
1147,325396363
1148,1379143756914495488
1149,1379181768725700612
1150,1033185464755408896
1151,1573428703
1152,36119907
1153,1972318837
1154,1202959444210044930
1155,1379166240611180547
1156,126860339
1157,3401461066
1158,124844373
1159,1379155611657510914
1160,1357225894859972610
1161,1379151178710315014
1162,165369047
1163,1261655722800173058
1164,1379022838934466564
1165,1379134729014902787
1166,2938835500
1167,861475933248778240
1168,1377958341184516097
1169,14685538
1170,1379122321219325954
1171,1379118825967398914
1172,1300482088123207680
1173,43482096
1174,871345209443045376
1175,1621427394
1176,1360954848661753857
1177,1379098448746663936
1178,1379099907634692096
1179,1329814260898140161
1180,1379095506689912832
1181,1379096611599552512
1182,1310912527128309760
1183,2261206563
1184,1379072496499056645
1185,1351822455116095488
1186,196132141
1187,942073197167611904
1188,1229147917728059394
1189,1278262365260300288
1190,14334385
1191,1375842251872608260
1192,15333476
1193,1378999322696683520
1194,1378350273521971202
1195,528360469
1196,2870774711
1197,1378640882270941191
1198,1371419876150149126
1199,1917340261
1200,1191460985279778816
1201,4182480357
1202,49048696
1203,1379022061604061186
1204,2842783861
1205,730434680277876736
1206,1248983406727266305
1207,170801395
1208,950561243550625792
1209,67352755
1210,71494611
1211,1253109613966360576
1212,144609708
1213,942057772560023553
1214,854357608525959168
1215,1871523763
1216,41998066
1217,1258513520737615875
1218,3098486428
1219,181039771
1220,963470591826198528
1221,1360761495496261632
1222,4212810922
1223,1378749854172733440
1224,1378971280410546179
1225,1295602556337565696
1226,952335690791976960
1227,1376514419434328067
1228,1359795360999219200
1229,25387625
1230,416434757
1231,1326399308233646081
1232,51243558
1233,2825616522
1234,1252234926801293322
1235,272326240
1236,950664447793676288
1237,1348955421231386631
1238,388208719
1239,230331982
1240,1217903694794174464
1241,1287350773341331457
1242,948040935392382978
1243,1344412495167901698
1244,267923851
1245,789236825860796416
1246,298753676
1247,302764713
1248,21003877
1249,1357239823438917633
1250,1441361851
1251,1337704774213353474
1252,1378818176104996866
1253,1373845215048503301
1254,1336080577733283843
1255,171442003
1256,1246464910885781505
1257,85088481
1258,1378793203365724160
1259,1734980318
1260,109843047
1261,1378781273422970880
1262,1359033947355635714
1263,1050342785356845057
1264,1372312432689958924
1265,56429455
1266,1356817585996709888
1267,147805448
1268,957881845424775169
1269,254073900
1270,607009984
1271,1361346699302629376
1272,889035921781391360
1273,1370730958337536003
1274,1844984587
1275,217087625
1276,1482295550
1277,49407152
1278,1377527741885542400
1279,1343514961314799616
1280,376511617
1281,1145087891141476353
1282,890604131127353345
1283,1365356467994304513
1284,302525459
1285,1141627278
1286,1377934894735630345
1287,1170432834663854081
1288,478062488
1289,85163101
1290,1204781382960078848
1291,1369283077797675008
1292,1206184132721729536
1293,535596451
1294,3023009785
1295,208299946
1296,1324689992443174912
1297,1375366641563877376
1298,1033698830
1299,1378531349682786304
1300,1339210489436336130
1301,1074010971746766848
1302,1378602797655060480
1303,1377471462190297089
1304,1361776623482265603
1305,1243818093345832962
1306,1081400750696087552
1307,1239890538528223237
1308,1310158795780157441
1309,1374964599850553344
1310,52712954
1311,2307377173
1312,1181503674108936193
1313,1299194379265949696
1314,977869180505591809
1315,17001271
1316,2460386844
1317,1378548645277151232
1318,1276163204629123073
1319,2490966226
1320,62014349
1321,115219193
1322,1027265386373308416
1323,1378495722497134597
1324,1378490106479271940
1325,13860342
1326,1361888976970256386
1327,283467746
1328,624912563
1329,917517708673146880
1330,1378272436437745665
1331,1170722671
1332,1323530994390126593
1333,1376257520474468359
1334,47662763
1335,1309865958853443584
1336,929111827790880774
1337,1378417860398178305
1338,572569427
1339,94429277
1340,910290612645191680
1341,1373024436803276808
