,ownerAuthAddress,operatorAuthAddress,creationHeight,resignHeight,resignTx,banTx,state,mintedBlocks,ownerIsMine,operatorIsMine,localMasternode,targetMultiplier
82a3a9b74d51717e25190a946c2b511f4856dedcf179a9acaa4d9a1f8067fb96,8VNJngFkh7kGBKxb8ygbvnSjyJUiMd6ZzQ,8VNJngFkh7kGBKxb8ygbvnSjyJUiMd6ZzQ,1002819,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,8,False,False,False,2
f91c2ff7c15807c8b59e23db604bf901e1a3a463aa23222363246f35e84c9b2c,8VRSb8ydTRuzpHTqVMaJJRtQnPNbAcpGy7,8Qv6X8MXitC8kADuJFCPHXBaFnJK9TZMD7,998540,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,7,False,False,False,2
2a3d68ac8e09f888c0f41cb906333b69efd7109f5ce4f7d9a8de8cd8e03f0d05,8UohDpbBHveZnk2cfW1eWq1WiLYDesp2N1,8XamfSuT98rWffv69wqMdfQMzJNfDcCFSd,995513,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,9,False,False,False,16
a2005add4529d150135820cd5c06f25acdd0793fc01e2d0a365c081cff815e92,8RdWSCvzCTWe9QSaBZPwa9NGVj5F3YfuMm,8cMgZmeoTFgoAKigQjmom6Han8426iWCwa,995472,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,9,False,False,False,11
410a0724e12bebede9ba4c5a0c04e36798f58c6df8fd09b345a36d5f529abce3,8PRjKJxisYvNNVf72zJW4eM2ZDJdRcoeBX,8UuNDPXPngXwDkV4Y451vY1cy93SmSF3r2,995388,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,8,False,False,False,8
0a74b6e1dea0f2d95cf43b35a299bd55686535d9b142cc03a3b52e2b4f0b0a03,8JYCw6jbu7MtpsgF5qZkdc5GqShEpHP5i3,8LGGALEjM4CHP3zetqBwZ1YaCMNdw8q8wc,995078,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,8,False,False,False,15
be6d53c83edc72e0498f9fdda73f9f2bf980f3ea2b477cb1b8ded27cd4e4e6ac,8JLdTNJ3yHvyU294ML87TK7QeYFdgjsXDC,8JLdTNJ3yHvyU294ML87TK7QeYFdgjsXDC,991920,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,1,False,False,False,12
600d579cfa79e3e35c1d6e044518d96b0a7c85718e302a1800ea10dc76ef0809,8FT6NatsJ1ZgHxsZVy9fexV2LHbvBKbzK5,8FT6NatsJ1ZgHxsZVy9fexV2LHbvBKbzK5,991920,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,10
3238988256d7162b2b7bdd999a2f55ad164a9fb70e3a8fce6610d12b11052428,8QA7Swp5gUXijiaKQ69e6Z1XaZ2iixfSkH,8QA7Swp5gUXijiaKQ69e6Z1XaZ2iixfSkH,991911,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,10
98f49345814d97dd1ade5de8da871cbdecb370bf0f342cad081852dfa3f0b248,8M9UMwK1YJQysxPgfsXQujJtaaZDoG1z1z,8M9UMwK1YJQysxPgfsXQujJtaaZDoG1z1z,991908,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,1,False,False,False,14
653d56f0b32ae538ed29046d972f052622a05f5faa836f149afcbe7611d53ab2,8Fuj3Nop61TzCPi4kLLHmpB5CUfLhzQmEy,8Fuj3Nop61TzCPi4kLLHmpB5CUfLhzQmEy,991908,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,1,False,False,False,12
b7a71daee6adce9f437a10042540a16a21415dae8b0c97f7b59aab99720374b8,8PijcsacQqa3zYYUnKvfbbG8LA5jRMDF9W,8Y3yZqhAMyhSHKENjyXGyHBGaChMukbAu2,989205,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,10,False,False,False,10
79a07232f50d38f9e7a310f42a7d1ce9b223ad8a2b52ec0c0276afe25aa1c563,8Jp3UPo5cBpxsSzykNqLWwA8CyqiF8YUwh,8GqiSdqSPfnqdZnCmMtnCWQQyAN6ppw94C,989081,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,5,False,False,False,2
ab327f054d47c3db93b12100910cd7b704ac4c5726474445e60e62a7872b2545,8PLwwGNM8DWXkNTEwA28Ma3MHCuapNTJbv,8GQnEcuenKgxDfXg3HsfwsRf2ykqMi3GEW,985726,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,9,False,False,False,6
cab40d7021f6fda24fdeb5dbb1a7e238ad80d4ba989d4083506d876099cb0841,8JahSpnhKVsaavyM5WqmdtFQHvoajvK59T,8QEewnqsd69XSCo5CzJxo57ev5WcsERanF,984182,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,8,False,False,False,19
10901626bdfc0a0ea64fde49d01ac6de96473cf4123ae4121a9e7eb86f252a15,8ZpW7wfpaPRjcJxBGxCPsmCLNQ7QsnDTE5,8T9mjCBnEcFxs9YYhDmox6PioVHWYYLrCL,980797,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,7,False,False,False,2
