,amount,cloud,ticker
2021-12-05,5,0.0,DFI
2021-12-06,4,0.0,DFI
2021-12-07,4,0.0,DFI
2021-12-08,4,0.0,DFI
2021-12-10,4,0.0,DFI
2021-12-11,4,0.0,DFI
2021-12-12,4,0.0,DFI
2021-12-13,4,0.0,DFI
2021-12-14,4,0.0,DFI
2021-12-15,4,0.0,DFI
2021-12-16,4,0.0,DFI
2021-12-17,4,0.0,DFI
2021-12-18,3,0.0,DFI
2021-12-19,3,0.0,DFI
2021-12-20,2,0.0,DFI
2021-12-21,2,0.0,DFI
2021-12-22,2,0.0,DFI
2021-12-23,2,0.0,DFI
2021-12-24,2,0.0,DFI
2021-12-25,2,0.0,DFI
2021-12-26,2,0.0,DFI
2021-12-27,2,0.0,DFI
2021-12-28,2,0.0,DFI
2021-12-29,2,0.0,DFI
2021-12-30,1,0.0,DFI
2021-12-31,2,0.0,DFI
2022-01-01,2,0.0,DFI
2022-01-02,2,0.0,DFI
2022-01-03,2,0.0,DFI
2022-01-04,2,0.0,DFI
2022-01-05,2,0.0,DFI
2022-01-06,2,0.0,DFI
2022-01-07,2,0.0,DFI
2022-01-08,2,0.0,DFI
2022-01-09,2,0.0,DFI
2022-01-10,2,0.0,DFI
2022-01-11,2,0.0,DFI
2022-01-12,2,0.0,DFI
2022-01-13,2,0.0,DFI
2022-01-14,2,0.0,DFI
2022-01-15,2,0.0,DFI
2022-01-16,2,0.0,DFI
2022-01-17,2,0.0,DFI
2022-01-18,2,0.0,DFI
2022-01-19,2,0.0,DFI
2022-01-20,2,0.0,DFI
2022-01-21,2,0.0,DFI
2022-01-22,2,0.0,DFI
2022-01-23,2,0.0,DFI
2022-01-24,2,0.0,DFI
2022-01-27,2,0.0,DFI
2022-01-28,2,0.0,DFI
2022-01-29,2,0.0,DFI
2022-01-30,2,0.0,DFI
2022-01-31,2,0.0,DFI
2022-02-01,2,0.0,DFI
2022-02-02,2,0.0,DFI
2022-04-22,3,0.0,DFI
2022-04-23,3,0.0,DFI
2022-04-24,3,0.0,DFI
2022-05-05,3,0.0,DFI
2022-05-06,3,0.0,DFI
2022-05-07,3,0.0,DFI
2022-05-08,3,0.0,DFI
2022-05-09,3,0.0,DFI
2022-05-10,3,0.0,DFI
2022-05-11,3,0.0,DFI
2022-05-12,3,0.0,DFI
2022-05-13,3,0.0,DFI
2022-05-14,3,0.0,DFI
2022-05-15,3,0.0,DFI
2022-05-16,3,0.0,DFI
2022-05-17,3,0.0,DFI
2022-05-18,3,0.0,DFI
2022-05-19,3,0.0,DFI
2022-05-20,3,0.0,DFI
2022-05-21,3,0.0,DFI
2022-05-22,3,0.0,DFI
2022-05-23,3,0.0,DFI
2022-05-24,3,0.0,DFI
2022-05-25,3,0.0,DFI
2022-05-26,3,0.0,DFI
2022-05-27,3,0.0,DFI
2022-05-28,3,0.0,DFI
2022-05-29,3,0.0,DFI
2022-05-30,3,0.0,DFI
2022-05-31,3,0.0,DFI
2022-06-01,3,0.0,DFI
2022-06-02,3,0.0,DFI
2022-06-03,3,0.0,DFI
2022-06-04,3,0.0,DFI
2022-06-05,3,0.0,DFI
2022-06-06,3,0.0,DFI
2022-06-07,3,0.0,DFI
2022-06-08,3,0.0,DFI
2022-06-09,3,0.0,DFI
2022-06-10,3,0.0,DFI
2022-06-11,3,0.0,DFI
2022-06-12,3,0.0,DFI
2022-06-13,3,0.0,DFI
2022-06-14,3,0.0,DFI
2022-06-15,3,0.0,DFI
2022-07-09,3,0.0,DFI
2022-07-10,3,0.0,DFI
2022-07-11,3,0.0,DFI
2022-07-12,3,0.0,DFI
2022-07-14,3,0.0,DFI
2022-07-15,3,0.0,DFI
2022-07-16,3,0.0,DFI
2022-07-17,3,0.0,DFI
2022-07-18,3,0.0,DFI
2022-07-19,3,0.0,DFI
2022-07-20,3,0.0,DFI
2022-07-21,3,0.0,DFI
2022-07-22,3,0.0,DFI
2022-07-23,3,0.0,DFI
2022-07-24,3,0.0,DFI
2022-07-25,3,0.0,DFI
2022-07-26,3,0.0,DFI
2022-07-27,3,0.0,DFI
2022-07-28,3,0.0,DFI
2022-07-29,3,0.0,DFI
2022-07-30,3,0.0,DFI
2022-07-31,3,0.0,DFI
2022-08-01,3,0.0,DFI
2022-08-02,3,0.0,DFI
2022-08-03,3,0.0,DFI
2022-08-04,3,0.0,DFI
2022-08-20,3,0.0,DFI
2022-08-21,3,0.0,DFI
2022-08-22,3,0.0,DFI
2022-08-23,3,0.0,DFI
2022-08-24,3,0.0,DFI
2022-08-25,3,0.0,DFI
2022-08-26,3,0.0,DFI
2022-08-27,3,0.0,DFI
2022-08-28,3,0.0,DFI
2022-08-29,3,0.0,DFI
2022-09-13,4,0.0,DFI
2022-09-14,4,0.0,DFI
2022-09-15,4,0.0,DFI
2022-09-16,4,0.0,DFI
2022-09-17,3,0.0,DFI
2022-09-18,3,0.0,DFI
2022-09-19,3,0.0,DFI
2022-09-20,4,0.0,DFI
2022-11-23,4,0.0,DFI
2022-11-24,4,0.0,DFI
2022-11-25,4,0.0,DFI
2022-11-26,4,0.0,DFI
2022-11-27,4,0.0,DFI
2022-11-28,4,0.0,DFI
2022-11-29,4,0.0,DFI
2022-11-30,5,0.0,DFI
2022-12-01,5,0.0,DFI
2022-12-02,5,0.0,DFI
2022-12-03,5,0.0,DFI
2022-12-04,5,0.0,DFI
2022-12-05,5,0.0,DFI
2022-12-06,5,0.0,DFI
2022-12-07,5,0.0,DFI
2022-12-08,5,0.0,DFI
2022-12-09,5,0.0,DFI
2022-12-10,5,0.0,DFI
2022-12-11,5,0.0,DFI
2022-12-12,5,0.0,DFI
2022-12-13,5,0.0,DFI
2022-12-14,5,0.0,DFI
