,DFIPrices,DFIPricesBittrex,Time,commission,customRewards,idTokenA,idTokenB,numberAddresses,reserveA,reserveA/reserveB,reserveB,reserveB/reserveA,symbol,totalLiquidity
120,0.00087978,,2020-12-14 10:02:23.695595,0.002,,1.0,0.0,,1025.24107494,0.0008893999999999,1152723.88365915,1124.34422677,ETH-DFI,34382.45116876
121,2.694e-05,,2020-12-14 10:02:23.695595,0.002,,2.0,0.0,,203.76828185,2.578e-05,7903791.13576283,38788.13259848,BTC-DFI,40148.27456669
122,0.516713,,2020-12-14 10:02:23.695595,0.002,,3.0,0.0,,255785.59221204,0.52453489,487642.66376294,1.90645086,USDT-DFI,353413.68596845
123,0.00089268,,2020-12-14 11:02:22.886062,0.002,,1.0,0.0,,1031.33307694,0.00090814,1135646.70099298,1101.14445699,ETH-DFI,34228.06007744
124,2.708e-05,,2020-12-14 11:02:22.886062,0.002,,2.0,0.0,,203.19846852,2.564e-05,7924827.99227974,39000.43169616,BTC-DFI,40145.41932992
125,0.517406,,2020-12-14 11:02:22.886062,0.002,,3.0,0.0,,255785.59221204,0.52453489,487642.66376294,1.90645086,USDT-DFI,353413.68596845
126,0.00091317,,2020-12-14 12:02:41.455475,0.002,,1.0,0.0,,1031.16841951,0.00093318,1104994.31617721,1071.59441199,ETH-DFI,33760.27802004
127,2.769e-05,,2020-12-14 12:02:41.455475,0.002,,2.0,0.0,,205.73730619,2.598e-05,7918935.08585626,38490.51604935,BTC-DFI,40379.67341319
128,0.5291399999999999,,2020-12-14 12:02:41.455475,0.002,,3.0,0.0,,255785.59221204,0.52453489,487642.66376294,1.90645086,USDT-DFI,353413.68596845
129,0.00090357,,2020-12-14 13:02:21.822535,0.002,,1.0,0.0,,1031.45241813,0.00093318,1105298.64750348,1071.59441199,ETH-DFI,33769.57608612
130,2.739e-05,,2020-12-14 13:02:21.822535,0.002,,2.0,0.0,,206.17298018,2.608e-05,7904422.07666923,38338.78750633,BTC-DFI,40385.34675932
131,0.5222680000000001,,2020-12-14 13:02:21.822535,0.002,,3.0,0.0,,255782.9426188,0.53455994,478492.53620988,1.87069759,USDT-DFI,350080.44361028
132,0.00091964,,2020-12-14 14:02:17.279452,0.002,,1.0,0.0,,1022.51517788,0.00090819,1125880.62906429,1101.08940524,ETH-DFI,33934.56181032
133,2.791e-05,,2020-12-14 14:02:17.279452,0.002,,2.0,0.0,,206.96141146,2.632e-05,7863265.27677072,37993.87152078,BTC-DFI,40357.01217937
134,0.535293,,2020-12-14 14:02:17.279452,0.002,,3.0,0.0,,257327.4935793,0.53455994,481381.92398477,1.87069759,USDT-DFI,352194.41211769
135,0.00090553,,2020-12-14 15:02:06.734764,0.002,,1.0,0.0,,1032.18904308,0.00090907,1135433.79725411,1100.02504373,ETH-DFI,34239.05119722
136,2.745e-05,,2020-12-14 15:02:06.734764,0.002,,2.0,0.0,,207.5122201,2.643e-05,7849127.51446115,37824.8929662,BTC-DFI,40374.32943593
137,0.527007,,2020-12-14 15:02:06.734764,0.002,,3.0,0.0,,259288.12656294,0.5423800400000001,478056.17186038,1.84372565,USDT-DFI,352310.23224633
138,0.00089754,,2020-12-14 16:01:48.756970,0.002,,1.0,0.0,,1034.37071819,0.00091033,1136257.3625893,1098.50109115,ETH-DFI,34287.64478111
139,2.731e-05,,2020-12-14 16:01:48.756970,0.002,,2.0,0.0,,207.8518897,2.647e-05,7850285.37836333,37768.65050249,BTC-DFI,40410.29966223
140,0.5245569999999999,,2020-12-14 16:01:48.756970,0.002,,3.0,0.0,,267120.03607375,0.53024562,503766.59949046,1.88591843,USDT-DFI,367081.4125858
141,0.00090362,,2020-12-14 17:01:58.130092,0.002,,1.0,0.0,,1038.75271154,0.00091018,1141259.52099904,1098.68259145,ETH-DFI,34435.74485224
142,2.746e-05,,2020-12-14 17:01:58.130092,0.002,,2.0,0.0,,208.65104526,2.653e-05,7864588.59783265,37692.54349065,BTC-DFI,40524.77788586
143,0.525844,,2020-12-14 17:01:58.130092,0.002,,3.0,0.0,,267259.19766848,0.52979527,504457.4929537,1.88752154,USDT-DFI,367428.71658398
144,0.00091432,,2020-12-14 18:02:03.574797,0.002,,1.0,0.0,,1033.54626892,0.00089987,1148542.07282833,1111.26333417,ETH-DFI,34458.65004245
145,2.776e-05,,2020-12-14 18:02:03.574797,0.002,,2.0,0.0,,208.75219029,2.653e-05,7866579.83958591,37683.81940643,BTC-DFI,40539.73019009
146,0.5311319999999999,,2020-12-14 18:02:03.574797,0.002,,3.0,0.0,,267232.82001874,0.52953268,504657.84270354,1.88845757,USDT-DFI,367483.53703888
147,0.00090258,,2020-12-14 19:01:48.361170,0.002,,1.0,0.0,,1033.54651113,0.00089982,1148614.19912887,1111.332859,ETH-DFI,34459.73603275
148,2.748e-05,,2020-12-14 19:01:48.361170,0.002,,2.0,0.0,,209.28863106,2.659e-05,7868598.39522533,37596.87449515,BTC-DFI,40596.99244
149,0.527417,,2020-12-14 19:01:48.361170,0.002,,3.0,0.0,,266966.20654,0.5283720999999999,505261.73743761,1.89260559,USDT-DFI,367519.83714213
150,0.00090148,,2020-12-14 20:01:48.842628,0.002,,1.0,0.0,,1033.45283642,0.00089965,1148719.66592069,1111.53564578,ETH-DFI,34459.7563354
151,2.75e-05,,2020-12-14 20:01:48.842628,0.002,,2.0,0.0,,209.50739079,2.657e-05,7884131.10519166,37631.75645242,BTC-DFI,40658.27311386
152,0.527287,,2020-12-14 20:01:48.842628,0.002,,3.0,0.0,,266940.84119806,0.52787154,505692.79966995,1.89440026,USDT-DFI,367659.11033282
153,0.0009019,,2020-12-14 21:01:57.940358,0.002,,1.0,0.0,,1033.56006849,0.00089981,1148641.64132152,1111.34483262,ETH-DFI,34460.37369061
154,2.756e-05,,2020-12-14 21:01:57.940358,0.002,,2.0,0.0,,209.51762282,2.653e-05,7895198.71486198,37682.74290533,BTC-DFI,40687.78946499
155,0.528958,,2020-12-14 21:01:57.940358,0.002,,3.0,0.0,,271817.05377855,0.52785086,514950.47301227,1.89447448,USDT-DFI,374382.47905587
156,0.0009088,,2020-12-14 22:01:51.951300,0.002,,1.0,0.0,,1039.56221233,0.00091027,1142026.65360111,1098.56499212,ETH-DFI,34460.62943179
157,2.774e-05,,2020-12-14 22:01:51.951300,0.002,,2.0,0.0,,209.82564554,2.660000000000001e-05,7885284.66054458,37580.17586578,BTC-DFI,40692.11410678
158,0.5321130000000001,,2020-12-14 22:01:51.951300,0.002,,3.0,0.0,,272064.34402042,0.52785086,515418.95806712,1.89447448,USDT-DFI,374723.07995824
159,0.00090381,,2020-12-14 23:02:15.274380,0.002,,1.0,0.0,,1045.64653656,0.00091019,1148820.45455231,1098.66997535,ETH-DFI,34663.96951569
160,2.759e-05,,2020-12-14 23:02:15.274380,0.002,,2.0,0.0,,209.85324502,2.660000000000001e-05,7886820.70543012,37582.55301069,BTC-DFI,40698.75369049
161,0.531021,,2020-12-14 23:02:15.274380,0.002,,3.0,0.0,,272418.4895546,0.52847571,515479.67888392,1.89223455,USDT-DFI,374988.97525339
162,0.00090026,,2020-12-15 00:02:58.824562,0.002,,1.0,0.0,,1048.55794158,0.00091267,1148878.97100861,1095.67523686,ETH-DFI,34713.07764585
163,2.736e-05,,2020-12-15 00:02:58.824562,0.002,,2.0,0.0,,210.32047206,2.664e-05,7894574.35617623,37535.92923623,BTC-DFI,40764.05811775
164,0.5271359999999999,,2020-12-15 00:02:58.824562,0.002,,3.0,0.0,,272485.54842317,0.52844881,515632.81677605,1.89233087,USDT-DFI,375090.82957163
