,Time,base_name,base_volume,last_price,pool,quote_name,quote_volume,coingeckoVolume
18999,2021-07-05 16:00:40.748268,BCH,23394.979695536,221.97120694,BCH_DFI,DFI,10414.9606002084,2031264.431579686
19000,2021-07-05 17:00:37.441576,ETH,148460.89065145212,982.66669039,ETH_DFI,DFI,95307.32917054562,1960955.804373709
19001,2021-07-05 17:00:37.441576,BTC,378127.85382957023,14983.46123716,BTC_DFI,DFI,182942.39997710404,1960955.804373709
19002,2021-07-05 17:00:37.441576,USDT,123166.36267010002,0.44124702,USDT_DFI,DFI,241653.731577816,1960955.804373709
19003,2021-07-05 17:00:37.441576,DOGE,8238.946024512903,0.10314199,DOGE_DFI,DFI,1508.5837684596,1960955.804373709
19004,2021-07-05 17:00:37.441576,LTC,58656.74200193479,60.78627139,LTC_DFI,DFI,42283.71179074561,1960955.804373709
19005,2021-07-05 17:00:37.441576,BCH,23514.4651840446,221.97120694,BCH_DFI,DFI,10414.9606002084,1960955.804373709
19006,2021-07-05 18:01:45.085590,ETH,177966.49102559822,979.75485659,ETH_DFI,DFI,94565.034394641,2084822.658913897
19007,2021-07-05 18:01:45.085590,BTC,377533.3613724002,14983.28011967,BTC_DFI,DFI,175093.51727469417,2084822.658913897
19008,2021-07-05 18:01:45.085590,USDT,115171.31248815,0.4479534,USDT_DFI,DFI,284268.1395068716,2084822.658913897
19009,2021-07-05 18:01:45.085590,DOGE,8555.983074984426,0.10297528,DOGE_DFI,DFI,1495.3505775082,2084822.658913897
19010,2021-07-05 18:01:45.085590,LTC,58115.123586942886,60.85666003,LTC_DFI,DFI,42055.69580772421,2084822.658913897
19011,2021-07-05 18:01:45.085590,BCH,23356.8559209924,222.75890643,BCH_DFI,DFI,11651.8165391452,2084822.658913897
19012,2021-07-05 19:00:55.570741,ETH,186538.86859175545,979.40639114,ETH_DFI,DFI,93639.61122849838,2146953.06088781
19013,2021-07-05 19:00:55.570741,BTC,395796.5751930301,14983.90891259,BTC_DFI,DFI,175870.69836174118,2146953.06088781
19014,2021-07-05 19:00:55.570741,USDT,119788.55605643951,0.444475,USDT_DFI,DFI,281505.85322680324,2146953.06088781
19015,2021-07-05 19:00:55.570741,DOGE,8706.703873203316,0.10374309,DOGE_DFI,DFI,3366.6063365796003,2146953.06088781
19016,2021-07-05 19:00:55.570741,LTC,58983.49073883499,61.20166975,LTC_DFI,DFI,49646.37247142761,2146953.06088781
19017,2021-07-05 19:00:55.570741,BCH,23797.0319003165,225.69444616,BCH_DFI,DFI,20739.1149791256,2146953.06088781
19018,2021-07-05 22:00:27.428771,ETH,187181.9735059,980.33927964,ETH_DFI,DFI,100061.3357800644,2091768.026635439
19019,2021-07-05 22:00:27.428771,BTC,386233.0646272001,14991.28968221,BTC_DFI,DFI,176573.43304342325,2091768.026635439
19020,2021-07-05 22:00:27.428771,USDT,158183.75024936997,0.43943876,USDT_DFI,DFI,266695.2708369132,2091768.026635439
19021,2021-07-05 22:00:27.428771,DOGE,9394.21563408419,0.10409629,DOGE_DFI,DFI,4900.04317404,2091768.026635439
19022,2021-07-05 22:00:27.428771,LTC,59499.75733973279,61.2456685,LTC_DFI,DFI,45456.37250064721,2091768.026635439
19023,2021-07-05 22:00:27.428771,BCH,25502.21724698,225.47501921,BCH_DFI,DFI,20982.4538979144,2091768.026635439
19024,2021-07-05 23:00:38.280037,ETH,186854.4933802375,980.67982202,ETH_DFI,DFI,100074.48697653173,2064677.6799900627
19025,2021-07-05 23:00:38.280037,BTC,385794.4060271101,14994.01479449,BTC_DFI,DFI,172154.12553190588,2064677.6799900627
19026,2021-07-05 23:00:38.280037,USDT,158183.75024936997,0.43966581,USDT_DFI,DFI,269195.62937053584,2064677.6799900627
19027,2021-07-05 23:00:38.280037,DOGE,9375.160511329554,0.10409629,DOGE_DFI,DFI,4921.53459147,2064677.6799900627
19028,2021-07-05 23:00:38.280037,LTC,58914.4662325792,61.27289511,LTC_DFI,DFI,45914.8105321066,2064677.6799900627
