,dfxBuyRoutes,dfxSellRoutes,dfxBuyVolume,dfxSellVolume,dfxBuyVolumeCHF,dfxSellVolumeCHF
2021-08-30 10:01,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 11:02,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 12:02,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 13:01,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 14:02,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 15:02,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 16:01,35.0,0.0,273.79432096527364,0.0,,
2021-08-30 17:01,38.0,0.0,273.79432096527364,0.0,,
2021-08-30 18:01,38.0,0.0,273.79432096527364,0.0,,
2021-08-30 19:01,40.0,0.0,273.79432096527364,0.0,,
2021-08-30 20:02,40.0,0.0,273.79432096527364,0.0,,
2021-08-30 21:01,40.0,0.0,273.79432096527364,0.0,,
2021-08-30 22:01,41.0,0.0,827.6020543176619,0.0,,
2021-08-30 23:01,41.0,0.0,848.6170776316449,0.0,,
2021-08-31 00:04,41.0,0.0,848.6170776316449,0.0,,
2021-08-31 01:02,41.0,0.0,882.5423951940277,0.0,,
2021-08-31 02:02,41.0,0.0,882.5423951940278,0.0,,
2021-08-31 03:02,41.0,0.0,882.5423951940278,0.0,,
2021-08-31 04:02,41.0,0.0,882.5423951940278,0.0,,
2021-08-31 05:02,42.0,0.0,882.5423951940278,0.0,,
2021-08-31 06:02,47.0,0.0,882.5423951940278,0.0,,
2021-08-31 07:02,49.0,0.0,882.5423951940278,0.0,,
2021-08-31 08:02,53.0,0.0,882.5423951940278,0.0,,
2021-08-31 09:01,55.0,0.0,882.5423951940278,0.0,,
2021-08-31 10:01,61.0,0.0,882.5423951940278,0.0,,
2021-08-31 11:02,66.0,0.0,882.5423951940278,0.0,,
2021-08-31 12:02,70.0,0.0,882.5423951940278,0.0,,
2021-08-31 13:01,71.0,0.0,882.5423951940278,0.0,,
2021-08-31 14:02,73.0,0.0,882.5423951940278,0.0,,
2021-08-31 15:02,74.0,0.0,2515.789369568848,0.0,,
2021-08-31 16:01,77.0,0.0,2515.789369568848,0.0,,
2021-08-31 17:01,77.0,0.0,2515.789369568848,0.0,,
2021-08-31 18:01,77.0,0.0,2515.789369568848,0.0,,
2021-08-31 19:01,79.0,0.0,2515.789369568848,0.0,,
2021-08-31 20:02,87.0,0.0,2515.789369568848,0.0,,
2021-08-31 21:01,90.0,0.0,2515.789369568848,0.0,,
2021-08-31 22:01,90.0,0.0,2515.789369568848,0.0,,
2021-08-31 23:01,93.0,0.0,2515.789369568848,0.0,,
2021-09-01 00:04,93.0,0.0,2713.0754968252263,0.0,,
2021-09-01 01:02,94.0,0.0,2713.0754968252263,0.0,,
2021-09-01 02:02,94.0,0.0,2713.0754968252263,0.0,,
2021-09-01 03:02,94.0,0.0,2713.0754968252263,0.0,,
2021-09-01 04:02,97.0,0.0,2713.0754968252263,0.0,,
2021-09-01 05:02,97.0,0.0,2713.0754968252263,0.0,,
2021-09-01 06:02,98.0,0.0,2713.0754968252263,0.0,,
2021-09-01 07:02,102.0,0.0,2713.0754968252263,0.0,,
2021-09-01 08:02,103.0,0.0,2713.0754968252263,0.0,,
2021-09-01 09:01,104.0,0.0,2713.0754968252263,0.0,,
2021-09-01 10:01,107.0,0.0,2713.0754968252263,0.0,,
2021-09-01 11:02,107.0,0.0,2713.0754968252263,0.0,,
2021-09-01 12:02,107.0,0.0,4483.645025188375,0.0,,
2021-09-01 13:01,109.0,0.0,4483.645025188375,0.0,,
2021-09-01 14:02,114.0,0.0,4483.645025188375,0.0,,
