,block,txId,time,type,amount
002360b2010552e0225224e71fc93b8f7ac9851de35608e63002b610b35e86e41e8f68cdb000000000,2318514,0552e0225224e71fc93b8f7ac9851de35608e63002b610b35e86e41e8f68cdb0,2022-10-13 12:46:44,vout,789.99000000
002360a201137e2ff99053d8d67b2863aa7aaa2e68fc39fba6d9f5b640b1f40d5a78198caa00000000,2318498,137e2ff99053d8d67b2863aa7aaa2e68fc39fba6d9f5b640b1f40d5a78198caa,2022-10-13 12:36:34,vout,499.99000000
0023607801a8d2f94bae2ab4d31a86581420bc942413f7d13f37395eca4fcf3648cf0ee35500000000,2318456,a8d2f94bae2ab4d31a86581420bc942413f7d13f37395eca4fcf3648cf0ee355,2022-10-13 12:12:51,vout,195.51418547
0023604a01331d62de52c2c42124bb501aae0011bbba0c7fae3f6fc7f61ece5fe5aacebc0800000000,2318410,331d62de52c2c42124bb501aae0011bbba0c7fae3f6fc7f61ece5fe5aacebc08,2022-10-13 11:52:42,vout,999.99000000
0023604a0138d966ebc558d0e13f6b0c8fc311cd73fc3518463c6245d3994aa3e40bcc050100000000,2318410,38d966ebc558d0e13f6b0c8fc311cd73fc3518463c6245d3994aa3e40bcc0501,2022-10-13 11:52:42,vout,499.99000000
0023604601479ac83393058a548563462e0e64b05f21fc1fadf44ba49cc9b9f2553b9f151000000001,2318406,479ac83393058a548563462e0e64b05f21fc1fadf44ba49cc9b9f2553b9f1510,2022-10-13 11:49:11,vout,20933.77673746
00236046010846d9baefb398fb1625a9305c070ca1e3acc838b6e1953c8e801b6cd1396c7900000000,2318406,0846d9baefb398fb1625a9305c070ca1e3acc838b6e1953c8e801b6cd1396c79,2022-10-13 11:49:11,vout,999.99000000
002360460096289f82270b589a5c970653bbca2b5c173d873c2f3d6971129e2f8be03cbd9900000001,2318406,479ac83393058a548563462e0e64b05f21fc1fadf44ba49cc9b9f2553b9f1510,2022-10-13 11:49:11,vin,3041.45758039
00236046006c3b658a5dd1e36d85268095a383847ff68472985cea38a0dc0018672a58de2b00000001,2318406,479ac83393058a548563462e0e64b05f21fc1fadf44ba49cc9b9f2553b9f1510,2022-10-13 11:49:11,vin,21962.47779708
0023604001b431253e0be337fda34a99f98a4cdfc6c4f01ebee88e7345176d84f706d9ab7e00000001,2318400,b431253e0be337fda34a99f98a4cdfc6c4f01ebee88e7345176d84f706d9ab7e,2022-10-13 11:47:09,vout,352.74223047
