date,nbMnId,nbOtherId,fundDFI,mnDFI,otherDFI,foundationDFI,nbMnGenesisId,mnGenesisDFI,nbMnCakeId,mnCakeDFI,erc20DFI,burnedDFI,tokenDFI,nbMydefichainId,mnMydefichainDFI,nbMNlocked10,nbMNlocked5
2021-03-02,457,14758,10635105.59608917,321410122.87650734,76581355.55819343,273714000.0009,3,1274071.98553145,,,500000.0,0.0,11127839.754243078,,,,
2021-03-03,1588,12464,10681790.99608917,285165891.5280789,113012988.17457192,273714000.0009,2,1273936.98234049,,,500000.0,0.0,11141657.528961036,,,,
2021-03-04,4228,7874,10727322.19608917,338065647.4133162,60385250.29718471,273714000.0009,2,1273936.98234049,,,500000.0,0.0,11058246.71199369,,,,
2021-03-05,6900,8048,10770505.19608917,202534497.49013028,196345606.81398955,273714000.0009,2,1273936.98234049,,,500000.0,0.0,11035245.714791998,,,,
2021-03-06,11374,7833,10816832.39608917,252998983.63012287,146026431.97365442,273714000.0009,2,1273936.98234049,,,500000.0,0.0,10908252.60717845,,,,
2021-03-07,14360,7768,10862841.19608917,312721413.63955086,86905151.16456105,273714000.0009,2,1273936.98234049,,,500000.0,0.0,10719192.855977232,,,,
2021-03-08,15187,7824,10908929.59608917,329486055.344205,69997240.02965815,273714000.0009,2,1273936.98234049,15150.0,303246511.77140963,500000.0,0.0,10685079.86261715,,,,
2021-03-09,15189,7814,10955674.69608917,329842635.2339826,69927158.17250215,273714000.0009,2,1273936.98234049,15150.0,303562280.630954,500000.0,0.0,10569664.559475372,0.0,0.0,,
2021-03-10,15189,7876,11001822.79608917,330155298.2833464,69566198.34944537,273714000.0009,2,1273936.98234049,15150.0,303874134.3949534,500000.0,0.0,10917698.12704379,0.0,0.0,,
2021-03-11,15189,7902,11046637.59608917,330459052.0886601,69658071.31777363,273714000.0009,2,1273936.98234049,15150.0,304176943.4504264,500000.0,0.0,10741896.244125431,0.0,0.0,,
2021-03-12,15191,7990,11092387.69608917,330809150.3985786,69349904.58549461,273714000.0009,2,1273936.98234049,15150.0,304485556.73508835,500000.0,0.0,10834816.54768535,0.0,0.0,,
2021-03-13,15168,8069,11138376.59608917,307528894.22124475,92874550.10658686,273714000.0009,2,1273936.98234049,15150.0,304796330.56677693,500000.0,0.0,10715735.89563567,0.0,0.0,,
2021-03-14,15170,8107,11183708.79608917,307877293.484535,92820158.14560723,273714000.0009,2,1273936.98234049,15150.0,305101299.8020026,500000.0,0.0,10563946.10574447,0.0,0.0,,
2021-03-15,15169,8088,11228165.39608917,308156267.2344243,92711537.62583852,273714000.0009,2,1273936.98234049,15150.0,305400598.54686177,500000.0,0.0,10295837.894131929,0.0,0.0,,
2021-03-16,15170,8109,11273915.49608917,307364780.04271376,93788937.8518616,273714000.0009,2,1273936.98234049,15150.0,305710158.0355443,500000.0,0.0,10214096.093520807,0.0,0.0,,
2021-03-17,15170,8123,11320222.79608917,307678658.98053825,93687803.28580192,273714000.0009,2,1273936.98234049,15150.0,306024171.9853165,500000.0,0.0,10073632.309151009,0.0,0.0,,
2021-03-18,15171,8189,11365793.79608917,308007145.4791571,93701218.47692798,273714000.0009,2,1273936.98234049,15150.0,306332382.4060371,500000.0,0.0,9841996.729987867,0.0,0.0,,
2021-03-19,15171,8240,11412339.89608917,308322507.8908136,94114286.04684718,273714000.0009,2,1273936.98234049,15150.0,306647746.09528065,500000.0,0.0,10430704.240790052,0.0,0.0,,
2021-03-20,15171,8305,11456298.99608917,308620456.93355453,94089842.30173364,273714000.0009,2,1273936.98234049,15150.0,306945019.7646539,500000.0,0.0,10281257.30629159,0.0,0.0,,
2021-03-21,15173,8338,11503939.59608917,308982860.9752549,93846633.72033376,273714000.0009,2,1273936.98234049,15150.0,307267808.5585047,500000.0,0.0,9917287.297617355,0.0,0.0,,
2021-03-22,15173,8415,11548754.39608917,309285677.22600424,93511304.39121763,273714000.0009,2,1273936.98234049,15150.0,307570482.5821856,500000.0,0.0,9824041.29605764,0.0,0.0,,
2021-03-23,15173,8444,11595797.99608917,309603849.37571967,93004381.0363358,273714000.0009,2,1273936.98234049,15150.0,307888681.95075536,500000.0,0.0,9820497.563307537,1.0,20000.0,,
2021-03-24,15174,8487,11641727.19608917,309934768.49496824,92387142.10541064,273714000.0009,2,1273936.98234049,15150.0,308199590.8740199,500000.0,0.0,9009415.46006889,1.0,20000.0,,
2021-03-25,15174,8579,11687079.29608917,310241357.0367232,92394728.61516084,273714000.0009,2,1273936.98234049,15150.0,308506180.0378146,500000.0,0.0,9117059.20876541,1.0,20000.0,,
2021-03-26,15174,8679,11733346.79608917,310554310.923281,92042098.4272745,273714000.0009,2,1273936.98234049,15150.0,308818573.9227195,800000.0,0.0,8348341.45324302,1.0,20135.00013683,,
